Date Recorded,List Year,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Longitude,Latitude
2021-04-14,2020,Ansonia,323 BEAVER ST,133000.0,248400.0,0.5354,Residential,Single Family,-73.06822,41.35014
2021-05-26,2020,Ansonia,152 JACKSON ST,110500.0,239900.0,0.4606,Residential,Three Family,,
2021-09-13,2020,Ansonia,230 WAKELEE AVE,150500.0,325000.0,0.463,Commercial,,,
2020-12-14,2020,Ansonia,57 PLATT ST,127400.0,202500.0,0.6291,Residential,Two Family,,
2021-09-07,2020,Avon,245 NEW ROAD,217640.0,400000.0,0.5441,Residential,Single Family,,
2020-12-15,2020,Avon,63 NORTHGATE,528490.0,775000.0,0.6819,Residential,Single Family,-72.89675,41.79445
2021-06-01,2020,Barkhamsted,46 RATLUM MTN RD,203530.0,415000.0,0.490433735,Residential,Single Family,,
2021-01-25,2020,Beacon Falls,34 LASKY ROAD,158030.0,243000.0,0.6503,Residential,Single Family,,
2020-11-13,2020,Beacon Falls,9 AVON COURT,65590.0,100000.0,0.6559,Residential,Condo,,
2021-08-10,2020,Berlin,94 PERCIVAL AVE,140600.0,190790.0,0.7369,Residential,Single Family,,
2021-04-21,2020,Bethel,16 OXFORD STREET,170800.0,307000.0,0.5563,Residential,Single Family,,
2021-06-17,2020,Bethel,1308 LEXINGTON BOULEVARD,195300.0,365000.0,0.535,Residential,Condo,,
2021-07-21,2020,Bethel,10 CASTLE HILL ROAD,219870.0,325000.0,0.6765,Residential,Single Family,,
2020-11-25,2020,Bethel,8 BLACKMAN AVENUE,264040.0,445000.0,0.5933,Residential,Two Family,,
2020-10-21,2020,Bethlehem,34 HIGHLAND ROAD,82000.0,106000.0,0.7735,Residential,Single Family,,
2021-05-10,2020,Bolton,39 STONEHEDGE LN,189400.0,273750.0,0.6918,Residential,Single Family,,
2021-02-22,2020,Branford,49 ROSE ST TOWERS UNIT 402,97800.0,147000.0,0.6653,Residential,Condo,,
2021-04-08,2020,Branford,460 MAIN ST,180500.0,355000.0,0.5084,Residential,Two Family,,
2021-04-23,2020,Branford,24 COLLINS DR,147000.0,290000.0,0.5068,Residential,Single Family,,
2021-05-18,2020,Branford,61 PALMER RD,219900.0,460000.0,0.478,Residential,Single Family,,
2020-12-11,2020,Branford,3 GROVE CT,43400.0,86501.0,0.5017,Residential,Condo,,
2020-12-18,2020,Branford,69 CHURCH ST,200900.0,320000.0,0.6278,Residential,Two Family,,
2021-09-22,2020,Bristol,118 MOODY ST,117950.0,240000.0,0.4914,Residential,Single Family,,
2021-09-23,2020,Bristol,103 BUTTERNUT LN,61950.0,129900.0,0.4769,Residential,Condo,,
2021-01-15,2020,Bristol,MILL POND DR LOT 50,47530.0,100000.0,0.4753,Vacant Land,,,
2021-01-06,2020,Bristol,WILDEWOOD RUN LOT 50,47530.0,44900.0,1.0585,Vacant Land,,,
2020-11-18,2020,Bristol,14 CREST DR,150290.0,276000.0,0.5445,Residential,Single Family,,
2020-11-23,2020,Bristol,BROAD PLACE LOTS 225-6 AND 224,8400.0,38500.0,0.2181,Vacant Land,,-72.90406,41.66996
2021-03-19,2020,Bristol,50 ROSEMONT AVE,87500.0,175000.0,0.5,Residential,Single Family,,
2021-07-13,2020,Bristol,17 LINCOLN ST,102270.0,190000.0,0.5382,Residential,Two Family,,
2021-07-22,2020,Bristol,28 HULL ST,130690.0,190000.0,0.6878,Residential,Three Family,,
2020-11-04,2020,Brookfield,101 OBTUSE RD SOUTH,378680.0,537000.0,0.705176909,Residential,Single Family,,
2021-02-02,2020,Burlington,57 ROCK RD,194670.0,275000.0,0.7078,Residential,Single Family,,
2021-07-19,2020,Burlington,206 COVEY RD,286860.0,540000.0,0.5312,Residential,Single Family,-72.97635,41.79258
2021-05-27,2020,Canton,558 CHERRY BROOK ROAD,125390.0,128000.0,0.9796,Residential,Single Family,,
2021-08-20,2020,Cheshire,249 REDWOOD LANE,202590.0,425000.0,0.4766,Residential,Single Family,,
2021-01-29,2020,Colchester,133 BRAINARD RD,139200.0,292500.0,0.4758,Residential,Single Family,,
2021-04-26,2020,Colchester,OLD AMSTON RD,55000.0,250000.0,0.22,Vacant Land,,,
2020-10-02,2020,Colchester,LOT #11 RESERVOIR RD,44000.0,85000.0,0.5176,Vacant Land,,,
2021-03-04,2020,Coventry,SQUIRREL TR,35600.0,42750.0,0.8327,Vacant Land,,,
2021-04-29,2020,Coventry,157 STONEHOUSE RD,83400.0,65000.0,1.283,Residential,Single Family,,
2021-07-15,2020,Coventry,1467 SOUTH ST,359800.0,480000.0,0.7495,Commercial,,,
2021-01-14,2020,Cromwell,25 MIDWAY DR,128200.0,208000.0,0.6163,Residential,Condo,,
2020-12-14,2020,Cromwell,11 MYSTIQUE LANE,210350.0,322000.0,0.6532,Residential,Condo,,
2021-01-13,2020,Danbury,27 CROWS NEST LA 6A,110300.0,195000.0,0.5656,Residential,Condo,,
2021-05-10,2020,Danbury,51 OLD BOSTON POST RD,191600.0,394000.0,0.4862,Residential,Single Family,,
2021-08-24,2020,Danbury,305 LARSON DR,188600.0,360000.0,0.5238,Residential,Condo,,
2020-10-20,2020,Danbury,15 SCUPPO RD 803,161400.0,270000.0,0.5977,Residential,Condo,,
2020-11-24,2020,Danbury,18 KING ST,203400.0,309000.0,0.6582,Residential,Single Family,,
2020-12-21,2020,Danbury,3 DANA RD,61300.0,90000.0,0.6811,Vacant Land,,,
2021-02-03,2020,Darien,14 GIDEON LANE,114170.0,184499.0,0.6188,Residential,Condo,,
2021-03-17,2020,Darien,12 SUNNYSIDE AVE,602980.0,650000.0,0.9276,Residential,Single Family,,
2020-11-16,2020,Darien,16 OAKSHADE AVE,746220.0,1140000.0,0.6545,Residential,Single Family,,
2021-03-30,2020,Derby,196 ELIZABETH ST,351260.0,873000.0,0.4023,Commercial,,,
2021-07-14,2020,East Granby,6 SCHOOLHOUSE LANDING,211100.0,373500.0,0.5651,Residential,Condo,,
2020-12-30,2020,East Granby,17 BONNIEVIEW DRIVE,148200.0,260000.0,0.57,Residential,Single Family,,
2021-05-10,2020,East Haddam,96 LONGWOOD DR,83020.0,175000.0,0.4744,Residential,Single Family,-72.33294,41.51729
2021-09-29,2020,East Haddam,162 NORWICH SALEM RD,219810.0,439900.0,0.4996,Residential,Single Family,,
2021-03-19,2020,East Hartford,9 ROSE ST,90680.0,95001.0,0.9545,Residential,Single Family,,
2021-04-19,2020,East Hartford,37 PENDLETON DR,113530.0,225000.0,0.5045,Residential,Single Family,,
2021-06-24,2020,East Hartford,257 PROSPECT ST,83850.0,128000.0,0.655,Residential,Single Family,,
2021-08-04,2020,East Hartford,31 MARGERY DR,107390.0,260000.0,0.413,Residential,Single Family,,
2021-09-14,2020,East Hartford,2 LAFAYETTE AVE,87380.0,235000.0,0.3718,Residential,Single Family,,
2020-10-16,2020,East Hartford,54 OLMSTED ST,91210.0,160000.0,0.57,Residential,Single Family,,
2020-12-02,2020,East Hartford,101 LAUREL ST,135990.0,215000.0,0.6325,Residential,Two Family,,
2021-01-04,2020,East Haven,116 PLEASANT AVE,149030.0,360500.0,0.4133,Residential,Single Family,,
2021-04-05,2020,East Haven,75 REDWOOD DR #704,89580.0,165000.0,0.5429,Residential,Condo,-72.84836,41.32761
2021-04-13,2020,East Haven,19 FARVIEW AVE,146250.0,291000.0,0.5025,Residential,Single Family,,
2021-05-13,2020,East Haven,15 ELM CT,108350.0,247000.0,0.4386,Residential,Single Family,,
2020-12-07,2020,East Haven,6 WHEATON RD,160060.0,275000.0,0.582,Residential,Single Family,,
2021-01-12,2020,East Lyme,38 GURLEY RD,159460.0,243000.0,0.6562,Residential,Two Family,,
2021-05-18,2020,East Lyme,77 LOVERS LN,86100.0,124000.0,0.6943,Vacant Land,,,
2021-09-29,2020,East Lyme,8 WINTHROP DR,219100.0,475000.0,0.4612,Residential,Single Family,,
2021-01-29,2020,Easton,95 ROCK HOUSE ROAD,275960.0,370000.0,0.7458,Residential,Single Family,,
2021-04-13,2020,East Windsor,12A PASCO DR,108920.0,144000.0,0.7563,Commercial,,,
2020-10-20,2020,East Windsor,131 DEPOT ST,34730.0,290000.0,0.1197,Vacant Land,,,
2021-04-28,2020,Enfield,38 RAFFIA RD,107210.0,205000.0,0.5229,Residential,Single Family,,
2021-05-27,2020,Enfield,51 DARTMOOR,180480.0,330000.0,0.5469,Residential,Condo,,
2021-07-27,2020,Enfield,1 VERNON RD,116790.0,252000.0,0.4634,Residential,Single Family,,
2021-09-24,2020,Enfield,HAMLET B03UF,88610.0,189900.0,0.4666,Residential,Condo,,
2020-11-09,2020,Enfield,197 BRAINARD RD,111550.0,206000.0,0.5415,Residential,Single Family,,
2021-01-12,2020,Essex,34 PRATT #A,623900.0,650000.0,0.9598,Residential,Condo,,
2021-05-11,2020,Essex,17 PARTRIDGE LN,246800.0,575000.0,0.4292,Residential,Single Family,,
2021-07-15,2020,Essex,13 WALNUT ST,197500.0,400000.0,0.4937,Residential,Single Family,,
2020-11-30,2020,Farmington,11 WHITEHALL PLACE,491890.0,765000.0,0.6429,Residential,Single Family,,
2021-04-08,2020,Franklin,55 TOWNLINE BLVD,48280.0,69000.0,0.699710145,Vacant Land,,,
2021-04-08,2020,Glastonbury,63 FOX DEN RD,247000.0,399000.0,0.619,Residential,Single Family,,
2021-07-26,2020,Glastonbury,42 BELL ST,161300.0,315000.0,0.512,Residential,Single Family,,
2021-09-07,2020,Glastonbury,87 BENTON LN,172800.0,345000.0,0.5008,Residential,Single Family,,
2020-11-18,2020,Glastonbury,1326 HEBRON AVE,58500.0,72500.0,0.8068,Vacant Land,,,
2021-06-07,2020,Goshen,44 ROCKWALL COURT,322150.0,628000.0,0.5129,Residential,Single Family,,
2021-07-13,2020,Granby,15 WINDMILL DR,112350.0,199000.0,0.5645,Residential,Condo,,
2021-09-20,2020,Granby,30 FIRETOWN RD,154210.0,315000.0,0.4895,Public Utility,,,
2021-02-16,2020,Greenwich,2350000,1964480.0,2350000.0,0.8359,Residential,Single Family,,
2021-03-05,2020,Greenwich,10 NIMITZ PLACE,548800.0,870000.0,0.6308,Residential,Single Family,,
2021-04-22,2020,Greenwich,188 BIBLE STREET,737590.0,1364000.0,0.5407,Residential,Single Family,-73.59662,41.05717
2021-09-09,2020,Greenwich,15 SHOAL POINT ROAD,2623950.0,3900000.0,0.6728,Residential,Single Family,,
2020-12-18,2020,Greenwich,328 LAKE AVENUE,1908690.0,2850000.0,0.6697,Residential,Single Family,,
2020-12-09,2020,Greenwich,9 WEST END AVE,1329090.0,1920000.0,0.6922,Residential,Single Family,,
2021-04-01,2020,Griswold,80 QUINEBAUG CAMP RD,43610.0,60000.0,0.7268,Vacant Land,,,
2021-05-10,2020,Griswold,94 PLEASANT VIEW,35980.0,36000.0,0.9994,Vacant Land,,,
2021-06-21,2020,Griswold,33 RUSSEL STREET UNIT 10,47180.0,123800.0,0.381098546,Residential,Condo,,
2021-06-22,2020,Groton,0 GOLD STAR HWY,7000.0,10000.0,0.7,Vacant Land,,,
2021-07-07,2020,Groton,7 FOREST AVE,166040.0,330000.0,0.5031,Residential,Single Family,-72.00456,41.38926
2021-08-11,2020,Groton,18 BERN CT,110810.0,260000.0,0.426192308,Residential,Single Family,,
2021-09-27,2020,Groton,84 BEACH POND RD,297360.0,670000.0,0.4438,Residential,Single Family,,
2020-10-19,2020,Groton,48 CREST DR,123410.0,260000.0,0.474653846,Residential,Single Family,,
2020-12-11,2020,Groton,31 THAMES HEIGHT LN,109340.0,160000.0,0.6833,Residential,Condo,,
2020-10-29,2020,Guilford,45 ROUND HILL RD,186910.0,252000.0,0.7417,Residential,Single Family,,
2021-02-17,2020,Hartford,25 CHARTER OAK AVE,189770.0,245000.0,0.7745,Commercial,,,
2021-05-28,2020,Hartford,241 WESTLAND ST,120680.0,240000.0,0.5028,Apartments,,-72.68296,41.79166
2021-07-29,2020,Hartford,30 ASHLEY ST,107530.0,350000.0,0.3072,Residential,Two Family,,
2021-08-20,2020,Hartford,255 MARTIN ST,6230.0,16500.0,0.3775,Vacant Land,,,
2021-05-10,2020,Harwinton,42 FOX HUNT WAY,70990.0,110000.0,0.6453,Vacant Land,,,
2021-03-11,2020,Killingly,62 ATHOL ST,55860.0,102000.0,0.5476,Residential,Condo,,
2020-12-11,2020,Killingly,106 MAIN ST,64400.0,66900.0,0.9626,Commercial,,,
2020-12-09,2020,Killingworth,46 TITUS COAN ROAD,354040.0,645000.0,0.5488,Residential,Single Family,,
2021-02-18,2020,Lebanon,54 FIRST ST,121510.0,229900.0,0.5285,Residential,Single Family,,
2020-10-05,2020,Lisbon,24 BLISSVILLE RD,127230.0,190000.0,0.6696,Residential,Single Family,,
2020-10-05,2020,Litchfield,577 MAPLE ST,207690.0,345000.0,0.602,Residential,Single Family,,
2020-11-16,2020,Litchfield,68 BEACH ST,149570.0,200000.0,0.7478,Residential,Two Family,,
2021-02-25,2020,Madison,34 FAIRVIEW AVE,1298800.0,2175000.0,0.5971,Residential,Single Family,,
2021-04-05,2020,Madison,32 JEFFERSON PARK RD,257800.0,475000.0,0.5427,Residential,Single Family,,
2021-09-08,2020,Madison,2162 DURHAM RD,260200.0,501000.0,0.5193,Residential,Single Family,,
2021-01-19,2020,Manchester,63 PITKIN STREET,124900.0,249900.0,0.4997,Residential,Single Family,,
2021-08-04,2020,Manchester,151 MAPLE STREET,92900.0,165000.0,0.563,Residential,Single Family,,
2021-09-03,2020,Manchester,236 WEST CENTER STREET,103300.0,210000.0,0.4919,Residential,Single Family,,
2020-10-07,2020,Manchester,53 NORTH STREET,173900.0,250000.0,0.6956,Residential,Four Family,,
2021-03-02,2020,Mansfield,42 SAWMILL BROOK RD,279000.0,435000.0,0.6413,Residential,Single Family,,
2021-06-25,2020,Mansfield,5 MOUNTAIN RD,145300.0,250000.0,0.5812,Residential,Single Family,,
2021-08-26,2020,Mansfield,40 OLD KENT RD,155900.0,284400.0,0.5481,Residential,Single Family,,
